modo,threads,chunk,tiempo,primos
secuencial,1,0,220.569,21336326
static,2,0,138.361,21336326
static,2,10,109.803,21336326
static,2,1000,109.879,21336326
static,2,10000,109.911,21336326
static,4,0,75.7268,21336326
static,4,10,56.9653,21336326
static,4,1000,56.9803,21336326
static,4,10000,57.4814,21336326
static,16,0,33.7896,21336326
static,16,10,30.0112,21336326
static,16,1000,29.9035,21336326
static,16,10000,30.4815,21336326
dynamic,2,0,111.726,21336326
dynamic,2,10,110.367,21336326
dynamic,2,1000,109.726,21336326
dynamic,2,10000,109.705,21336326
dynamic,4,0,58.4974,21336326
dynamic,4,10,57.2487,21336326
dynamic,4,1000,57.2102,21336326
dynamic,4,10000,56.8832,21336326
dynamic,16,0,30.1125,21336326
dynamic,16,10,30.1508,21336326
dynamic,16,1000,30.8672,21336326
dynamic,16,10000,29.7501,21336326
guided,2,0,110.079,21336326
guided,2,10,109.661,21336326
guided,2,1000,110.301,21336326
guided,2,10000,109.659,21336326
guided,4,0,56.9695,21336326
guided,4,10,57.5322,21336326
guided,4,1000,57.1658,21336326
guided,4,10000,57.1095,21336326
guided,16,0,29.7337,21336326
guided,16,10,29.5871,21336326
guided,16,1000,29.6049,21336326
guided,16,10000,29.6374,21336326
